Object Number,Is Highlight,Is Public Domain,Object ID,Department,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Metadata Date,Repository
"Sheet: 14 15/16 × 10 9/16 in. (38 × 26.8 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750761,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Sheet: 19 7/8 × 25 13/16 in. (50.5 × 65.6 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Image: 14 1/8 × 16 1/16 in. (35.9 × 40.8 cm)""",Johanna and Leslie Garfield,,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750762,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 14 in. × 8 15/16 in. (35.5 × 22.7 cm)""","Bequest of Grace M. Pugh, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750768,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 9 3/16 × 13 5/16 in. (23.4 × 33.8 cm)""","Bequest of Grace M. Pugh, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750770,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 15/16 × 8 1/8 in. (30.3 × 20.7 cm)""","Bequest of Grace M. Pugh, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750774,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 8 11/16 × 6 9/16 in. (22 × 16.7 cm)""","Bequest of Grace M. Pugh, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750776,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 7 11/16 × 10 1/16 in. (19.5 × 25.5 cm)""","Bequest of Grace M. Pugh, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750782,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 9 1/4 × 13 11/16 in. (23.5 × 34.7 cm)""","Bequest of Grace M. Pugh, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750789,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 11 9/16 × 15 11/16 in. (29.4 × 39.9 cm)""","Bequest of Grace M. Pugh, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750790,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 17 5/8 × 12 15/16 in. (44.8 × 32.8 cm)""","Bequest of Grace M. Pugh, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750793,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 12 11/16 × 17 13/16 in. (32.2 × 45.3 cm)""","Bequest of Grace M. Pugh, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750797,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 16 15/16 × 11 3/4 in. (43 × 29.8 cm)""","Bequest of Grace M. Pugh, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750798,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 10 5/16 × 8 7/8 in. (26.2 × 22.5 cm)""","Gift of Frances Carol Mills Clark, 1990",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750802,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 10 1/4 × 7 1/16 in. (26 × 18 cm)""","Gift of Harry G. Friedman, 1964",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750819,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
1986.1180.500,FALSE,FALSE,750830,Drawings and Prints,Print,"Mr. Necker, Ministre d'Etat et Directeur Général des Finances",,,,,,Artist,,Pierre Audouin,"French, Paris 1768–1822 Paris",,"Audouin, Pierre",,1768,1822,,1788,1822,Engraving,Plate: 5 3/4 x 7 3/4 in. (14.6 x 19.7cm),"Bequest of Grace M. Pugh, 1985",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750830,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
"Mount: 14 15/16 in. × 21 1/4 in. (38 × 54 cm)""","Purchase, Mr. and Mrs. John A. Moran Gift, in memory of Louise Chisholm Moran, 2017",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/750832,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Mount: 10 13/16 × 14 3/16 in. (27.4 × 36 cm)""","Purchase, Mr. and Mrs. John A. Moran Gift, in memory of Louise Chisholm Moran, 2017",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/750833,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Image: 1 1/16 × 3 1/4 in. (2.7 × 8.2 cm)""","Harris Brisbane Dick Fund, 1926",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/750885,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Image: 1 1/16 × 3 3/16 in. (2.7 × 8.1 cm)""","Harris Brisbane Dick Fund, 1926",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/750896,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Image: 1 1/16 × 3 1/4 in. (2.7 × 8.2 cm)""","Harris Brisbane Dick Fund, 1926",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/750898,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Image: 1 1/8 × 3 1/4 in. (2.9 × 8.2 cm)""","Harris Brisbane Dick Fund, 1926",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/750903,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 5/8 × 8 5/8 in. (6.6 × 21.9 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1954",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/750907,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 11/16 × 8 3/4 in. (6.9 × 22.2 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1954",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/750923,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 5/8 × 8 3/4 in. (6.7 × 22.2 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1954",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/750925,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 5/8 × 8 5/8 in. (6.6 × 21.9 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1954",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/750927,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 5/8 × 8 11/16 in. (6.7 × 22 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1954",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/750941,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 5/8 × 8 3/4 in. (6.7 × 22.2 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1954",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/750943,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 7 5/8 × 5 11/16 in. (19.4 × 14.4 cm)""","Gift of Junius Spencer Morgan, 1929",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/750951,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 10 5/8 × 7 7/8 in. (27 × 20 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Prints,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/751028,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 9 5/8 × 15 3/8 in. (24.5 × 39 cm)""","Rogers Fund, 1921",,,,,,,,,,,,Prints,"© 2018 Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/751050,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 17 1/16 × 11 7/16 in. (43.4 × 29 cm)""","Harris Brisbane Dick Fund, 1917",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751108,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 17 3/16 × 13 13/16 in. (43.7 × 35.1 cm)""","Harris Brisbane Dick Fund, 1917",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751115,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 15 7/8 × 10 15/16 in. (40.4 × 27.8 cm)""","Harris Brisbane Dick Fund, 1917",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751118,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 22 5/16 × 21 1/2 in. (56.7 × 54.6 cm)""","Purchase, Joseph F. McCrindle Foundation Gift, A. Hyatt Mayor Purchase Fund, Marjorie Phelps Starr Bequest, Mary Oenslager Fund, 2017",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751120,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Image: 10 1/4 × 13 3/4 in. (26 × 35 cm)""","Purchase, Jockey Hollow Foundation Gift, 2017",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751121,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Length: 7 11/16 in. (19.5 cm)""","Gift of Mrs. Richard Riddell, 1981",,,,,,,,,,,,Ephemera|Drawings|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751146,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 9 3/16 × 12 1/8 in. (23.4 × 30.8 cm)""","Gift of Mrs. Grace A. Albee, in memory of Percy F. Albee, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751150,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Image: 9 3/4 × 12 5/16 in. (24.7 × 31.2 cm)""","Gift of Mrs. Grace A. Albee, in memory of Percy F. Albee, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751157,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 3 1/8 × 2 5/8 in. (8 × 6.6 cm)""","Rogers Fund, 1919",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751182,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 3 1/8 × 2 1/2 in. (7.9 × 6.4 cm)""","Harris Brisbane Dick Fund, 1947",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751193,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 3 1/16 × 2 1/2 in. (7.8 × 6.4 cm)""","Rogers Fund, 1919",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751197,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 3 1/8 × 2 1/2 in. (7.9 × 6.3 cm)""","Rogers Fund, 1919",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751201,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
58.648.7,FALSE,FALSE,751207,Drawings and Prints,Print Ornament & Architecture,"Diana, reverse copy from a suite of ornament designs with grotesques and deities",,,,,,Artist,After,Étienne Delaune,"French, Orléans 1518/19–1583 Strasbourg",,"Delaune, Étienne",,1518,1583,,0,0,Engraving (?),"Sheet (trimmed, oval shape): 1 5/8 × 1 1/4 in. (4.1 × 3.1 cm)","Gift of Helen and Janos Scholz, 1958",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751207,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY"
"Plate: 3 1/4 × 2 9/16 in. (8.2 × 6.5 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751212,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 3 1/4 × 2 1/2 in. (8.3 × 6.4 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751214,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 3 1/4 × 2 1/2 in. (8.2 × 6.4 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751220,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 3 1/4 × 2 1/2 in. (8.2 × 6.4 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751221,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 3 1/4 × 2 1/2 in. (8.2 × 6.4 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751222,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 3 1/4 × 2 1/2 in. (8.2 × 6.4 cm)""","The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1949",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751223,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 3/8 × 1 7/8 in. (6 × 4.8 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751257,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 3/8 × 1 7/8 in. (6 × 4.8 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751262,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 3/8 × 1 7/8 in. (6 × 4.8 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751264,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 3/8 × 1 7/8 in. (6 × 4.8 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751271,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 3/8 × 1 7/8 in. (6 × 4.8 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751273,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 2 3/8 × 1 7/8 in. (6 × 4.8 cm)""","Rogers Fund, 1922",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/751274,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 21 3/8 × 15 3/8 in. (54.3 × 39.1 cm)""","Gift of Jean-Yves Noblet and Michael Trese, 2017",,,,,,,,,,,,Prints|Portfolios,,http://www.metmuseum.org/art/collection/search/751288,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
",Sheet: 13 1/2 × 21 1/2 in. (34.3 × 54.6 cm),Gift of William Brewster","1923""",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/751304,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
2017.384,FALSE,FALSE,751312,European Sculpture and Decorative Arts,Necklace,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
",Necklace,British"," Birmingham""",,,,,Maker|Maker,and,Arthur Joseph Gaskin|Georgina Evelyn Cave Gaskin,"British, Birmingham 1862–1928 Chipping Campden|British, Shrewsbury 1866–1934 West Malling",,"Gaskin, Arthur Joseph|Gaskin, Georgina Evelyn Cave",,1862      |1866,1928      |1934,ca. 1909,1904,1914,"Gold, silver, opal, seed pearl, pink tourmaline, diamond, green glass","Length (including clasp, confirmed): 16 1/2 in. (41.9 cm);",,,,,,,,,,,,,,,,,,,,,,,
Length of central pendants (confirmed): 3 1/8 (7.9 cm);,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Overall (case,"confirmed): 10 1/4 × 7 1/2 × 3 in. (26 × 19.1 × 7.6 cm)""","Gift of Jacqueline Loewe Fowler, 2017",,,,,,,,,,,,Metalwork-Gold and Platinum|Jewelry,,http://www.metmuseum.org/art/collection/search/751312,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,
"Image: 10 1/4 × 13 7/8 in. (26 × 35.2 cm)""","Gift of Mrs. Grace A. Albee, in memory of Percy F. Albee, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751391,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Image: 7 3/4 × 10 1/4 in. (19.7 × 26 cm)""","Gift of Mrs. Grace A. Albee, in memory of Percy F. Albee, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751398,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 10 15/16 × 15 9/16 in. (27.8 × 39.5 cm)""","Harris Brisbane Dick Fund, 1936",,,,,,,,,,,,Prints,"© 2018  Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/751436,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 15 3/4 × 11 1/8 in. (40 × 28.2 cm)""","Harris Brisbane Dick Fund, 1936",,,,,,,,,,,,Prints,"© 2018  Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/751437,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Sheet: 15 7/8 in. × 11 in. (40.3 × 28 cm)""","Harris Brisbane Dick Fund, 1936",,,,,,,,,,,,Prints,"© 2018  Artists Rights Society (ARS), New York",http://www.metmuseum.org/art/collection/search/751438,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Plate: 10 7/8 × 14 1/4 in. (27.7 × 36.2 cm)""","Gift of Mrs. Grace A. Albee, in memory of Percy F. Albee, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751464,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Image: 12 3/8 × 8 15/16 in. (31.5 × 22.7 cm)""","Gift of Mrs. Grace A. Albee, in memory of Percy F. Albee, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751471,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
"Image: 9 in. × 12 9/16 in. (22.9 × 31.9 cm)""","Gift of Mrs. Grace A. Albee, in memory of Percy F. Albee, 1962",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/751478,12/24/18 8:00,"Metropolitan Museum of Art, New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,
Plate: 10 1/16 × 12 1/2 in. (25.5 × 31.7 cm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
